locale,state,day,count
Anchorage,Alaska,2020-05-28,0
Auburn,Alabama,2020-05-28,0
Bakersfield,California,2020-05-28,0
Birmingham,Alabama,2020-05-28,0
Colorado Springs,Colorado,2020-05-28,0
Columbus,Ohio,2020-05-28,0
Coral Gables,Florida,2020-05-28,0
Davenport,Iowa,2020-05-28,0
Dover,Delaware,2020-05-28,0
Fairbanks,Alaska,2020-05-28,0
Fresno,California,2020-05-28,0
Fort Walton Beach,Florida,2020-05-28,0
Gainesville,Florida,2020-05-28,0
Hartford,Connecticut,2020-05-28,0
Honolulu,Hawaii,2020-05-28,0
Hoover,Alabama,2020-05-28,0
Huntington Beach,California,2020-05-28,0
Jacksonville,Florida,2020-05-28,0
Juneau,Alaska,2020-05-28,0
Kahului,Hawaii,2020-05-28,0
La Mesa,California,2020-05-28,0
Little Rock,Arkansas,2020-05-28,0
Miami,Florida,2020-05-28,0
Pensacola,Florida,2020-05-28,0
Pomona,California,2020-05-28,0
Prescott,Arizona,2020-05-28,0
Santa Rosa,California,2020-05-28,0
Vallejo,California,2020-05-28,100
Windermere,Florida,2020-05-28,0
Anchorage,Alaska,2020-05-29,0
Auburn,Alabama,2020-05-29,0
Bakersfield,California,2020-05-29,500
Birmingham,Alabama,2020-05-29,0
Colorado Springs,Colorado,2020-05-29,0
Columbus,Ohio,2020-05-29,0
Coral Gables,Florida,2020-05-29,0
Davenport,Iowa,2020-05-29,0
Dover,Delaware,2020-05-29,0
Fairbanks,Alaska,2020-05-29,0
Fresno,California,2020-05-29,0
Fort Walton Beach,Florida,2020-05-29,0
Gainesville,Florida,2020-05-29,0
Hartford,Connecticut,2020-05-29,0
Honolulu,Hawaii,2020-05-29,0
Hoover,Alabama,2020-05-29,0
Huntington Beach,California,2020-05-29,0
Jacksonville,Florida,2020-05-29,0
Juneau,Alaska,2020-05-29,0
Kahului,Hawaii,2020-05-29,0
La Mesa,California,2020-05-29,0
Little Rock,Arkansas,2020-05-29,0
Miami,Florida,2020-05-29,0
Pensacola,Florida,2020-05-29,400
Pomona,California,2020-05-29,0
Prescott,Arizona,2020-05-29,0
Santa Rosa,California,2020-05-29,0
Vallejo,California,2020-05-29,0
Windermere,Florida,2020-05-29,200
Anchorage,Alaska,2020-05-30,100
Auburn,Alabama,2020-05-30,0
Bakersfield,California,2020-05-30,0
Birmingham,Alabama,2020-05-30,1000
Colorado Springs,Colorado,2020-05-30,300
Columbus,Ohio,2020-05-30,0
Coral Gables,Florida,2020-05-30,100
Davenport,Iowa,2020-05-30,500
Dover,Delaware,2020-05-30,0
Fairbanks,Alaska,2020-05-30,400
Fresno,California,2020-05-30,0
Fort Walton Beach,Florida,2020-05-30,0
Gainesville,Florida,2020-05-30,1000
Hartford,Connecticut,2020-05-30,1000
Honolulu,Hawaii,2020-05-30,100
Hoover,Alabama,2020-05-30,100
Huntington Beach,California,2020-05-30,0
Jacksonville,Florida,2020-05-30,1200
Juneau,Alaska,2020-05-30,250
Kahului,Hawaii,2020-05-30,150
La Mesa,California,2020-05-30,1000
Little Rock,Arkansas,2020-05-30,400
Miami,Florida,2020-05-30,400
Pensacola,Florida,2020-05-30,400
Pomona,California,2020-05-30,250
Prescott,Arizona,2020-05-30,250
Santa Rosa,California,2020-05-30,500
Vallejo,California,2020-05-30,0
Windermere,Florida,2020-05-30,0
Anchorage,Alaska,2020-05-31,0
Auburn,Alabama,2020-05-31,250
Bakersfield,California,2020-05-31,0
Birmingham,Alabama,2020-05-31,0
Colorado Springs,Colorado,2020-05-31,0
Columbus,Ohio,2020-05-31,200
Coral Gables,Florida,2020-05-31,0
Davenport,Iowa,2020-05-31,0
Dover,Delaware,2020-05-31,200
Fairbanks,Alaska,2020-05-31,0
Fresno,California,2020-05-31,2000
Fort Walton Beach,Florida,2020-05-31,200
Gainesville,Florida,2020-05-31,0
Hartford,Connecticut,2020-05-31,0
Honolulu,Hawaii,2020-05-31,0
Hoover,Alabama,2020-05-31,0
Huntington Beach,California,2020-05-31,500
Jacksonville,Florida,2020-05-31,0
Juneau,Alaska,2020-05-31,0
Kahului,Hawaii,2020-05-31,0
La Mesa,California,2020-05-31,0
Little Rock,Arkansas,2020-05-31,0
Miami,Florida,2020-05-31,0
Pensacola,Florida,2020-05-31,0
Pomona,California,2020-05-31,0
Prescott,Arizona,2020-05-31,0
Santa Rosa,California,2020-05-31,0
Vallejo,California,2020-05-31,0
Windermere,Florida,2020-05-31,0
